id,po_number,supplier_id,created_by,status,priority,order_date,original_expected_delivery_date,revised_delivery_date,actual_delivery_date,total_amount,notes
ccaa359c-72a7-4a9a-adde-abcad89cf171,PO-001,545e9817-ce6b-4a0f-9a6f-9b5b29041090,USR-PROC-01,ordered,high,2026-09-03,2026-09-06,2026-09-14,,5000.0,Raw Milk batch - Dairy Pure Co experiencing refrigerated tank delay (8 days late)
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,PO-002,7c89f1d2-3a45-4b67-89ef-0123456789ab,USR-PROC-02,ordered,medium,2026-09-11,2026-09-15,2026-09-18,,12500.0,Baking flour and biscuit mix consignment - freight delayed at Chicago rail terminal
b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,PO-003,8d90a2e3-4b56-4c78-90fa-1234567890bc,USR-PROC-01,received,medium,2026-08-31,2026-09-10,2026-09-10,2026-09-10,8400.0,"Alphonso Mango pulp concentrate delivery - verified, inspected, and received into inventory"
77777777-1111-4444-8888-000000000001,PO-2026-HIST-001,545e9817-ce6b-4a0f-9a6f-9b5b29041090,USR-PROC-01,received,high,2026-06-01,2026-06-04,2026-06-04,2026-06-04,4800.0,"Historical regular dairy delivery - on time, perfect quality"
77777777-1111-4444-8888-000000000002,PO-2026-HIST-002,545e9817-ce6b-4a0f-9a6f-9b5b29041090,USR-PROC-01,received,high,2026-07-02,2026-07-05,2026-07-07,2026-07-07,4900.0,Historical dairy order - 2 day weather delay
77777777-1111-4444-8888-000000000003,PO-2026-HIST-003,545e9817-ce6b-4a0f-9a6f-9b5b29041090,USR-PROC-01,received,high,2026-08-01,2026-08-04,2026-08-04,2026-08-04,5000.0,Historical dairy order - on time
77777777-1111-4444-8888-000000000004,PO-2026-HIST-004,7c89f1d2-3a45-4b67-89ef-0123456789ab,USR-PROC-02,received,medium,2026-06-10,2026-06-17,2026-06-17,2026-06-17,12000.0,Flour bulk delivery - on time
77777777-1111-4444-8888-000000000005,PO-2026-HIST-005,7c89f1d2-3a45-4b67-89ef-0123456789ab,USR-PROC-02,received,medium,2026-07-15,2026-07-22,2026-07-22,2026-07-22,12200.0,Flour bulk delivery - on time
77777777-1111-4444-8888-000000000006,PO-2026-HIST-006,7c89f1d2-3a45-4b67-89ef-0123456789ab,USR-PROC-02,received,medium,2026-08-10,2026-08-17,2026-08-18,2026-08-18,12500.0,Flour bulk delivery - 1 day rail siding delay
77777777-1111-4444-8888-000000000007,PO-2026-HIST-007,8d90a2e3-4b56-4c78-90fa-1234567890bc,USR-PROC-01,received,medium,2026-06-20,2026-07-01,2026-07-01,2026-07-01,8000.0,Mango concentrate batch - on time
77777777-1111-4444-8888-000000000008,PO-2026-HIST-008,8d90a2e3-4b56-4c78-90fa-1234567890bc,USR-PROC-01,received,medium,2026-07-25,2026-08-05,2026-08-05,2026-08-05,8200.0,Mango concentrate batch - on time
